Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
GMCL2		5q35.3	AMP	37	509	7.3%	No
RMND5B		5q35.3	AMP	37	509	7.3%	No
ZFP2		5q35.3	AMP	37	509	7.3%	No
RUFY1		5q35.3	AMP	37	509	7.3%	No
CPEB4		5q35.2	AMP	37	509	7.3%	No
TRIM7		5q35.3	AMP	37	509	7.3%	No
THOC3		5q35.2	AMP	37	509	7.3%	No
TRIM52		5q35.3	AMP	37	509	7.3%	No
PHYKPL		5q35.3	AMP	37	509	7.3%	No
UNC5A		5q35.2	AMP	37	509	7.3%	No
TRIM41		5q35.3	AMP	37	509	7.3%	No
BOD1		5q35.2	AMP	37	509	7.3%	No
COL23A1		5q35.3	AMP	37	509	7.3%	No
SCGB3A1		5q35.3	AMP	37	509	7.3%	No
SFXN1		5q35.2	AMP	37	509	7.3%	No
GPRIN1		5q35.2	AMP	37	509	7.3%	No
ZNF354B		5q35.3	AMP	37	509	7.3%	No
C5ORF47		5q35.2	AMP	37	509	7.3%	No
OR2Y1		5q35.3	AMP	37	509	7.3%	No
BTNL9		5q35.3	AMP	37	509	7.3%	No
HIGD2A		5q35.2	AMP	37	509	7.3%	No
FAM153B		5q35.2	AMP	37	509	7.3%	No
EIF4E1B		5q35.2	AMP	37	509	7.3%	No
RASGEF1C		5q35.3	AMP	37	509	7.3%	No
LOC285593		5q35.2	AMP	37	509	7.3%	No
FAM153A		5q35.3	AMP	37	509	7.3%	No
ARL10		5q35.2	AMP	37	509	7.3%	No
OR2V2		5q35.3	AMP	37	509	7.3%	No
ZNF454		5q35.3	AMP	37	509	7.3%	No
C5ORF60		5q35.3	AMP	37	509	7.3%	No
ZNF879		5q35.3	AMP	37	509	7.3%	No
SIMC1		5q35.2	AMP	37	509	7.3%	No
LINC01951		5q35.2	AMP	37	509	7.3%	No
SNORD95		5q35.3	AMP	37	509	7.3%	No
SNORD96A		5q35.3	AMP	37	509	7.3%	No
LOC643201		5q35.2	AMP	37	509	7.3%	No
ZFP62		5q35.3	AMP	37	509	7.3%	No
CBY3		5q35.3	AMP	37	509	7.3%	No
FAM153CP		5q35.3	AMP	37	509	7.3%	No
SNORA74B		5q35.1	AMP	37	509	7.3%	No
LOC728554		5q35.3	AMP	37	509	7.3%	No
AACSP1		5q35.3	AMP	37	509	7.3%	No
LINC00847		5q35.3	AMP	37	509	7.3%	No
LOC100268168		5q35.1	AMP	37	509	7.3%	No
LOC100507387		5q35.2	AMP	37	509	7.3%	No
TRIM52-AS1		5q35.3	AMP	37	509	7.3%	No
HEIH		5q35.3	AMP	37	509	7.3%	No
LOC100996385		5q35.2	AMP	37	509	7.3%	No
LINC01484		5q35.2	AMP	37	509	7.3%	No
LINC01485		5q35.2	AMP	37	509	7.3%	No
LOC101928445		5q35.3	AMP	37	509	7.3%	No
CTC-338M12.4		5q35.3	AMP	37	509	7.3%	No
LINC01574		5q35.2	AMP	37	509	7.3%	No
LINC01962		5q35.3	AMP	37	509	7.3%	No
UBTD2		5q35.1	AMP	36	509	7.1%	No
SH3PXD2B		5q35.1	AMP	36	509	7.1%	No
GABRP		5q35.1	AMP	35	509	6.9%	No
KCNMB1		5q35.1	AMP	35	509	6.9%	No
LCP2		5q35.1	AMP	35	509	6.9%	No
NPM1		5q35.1	AMP	35	509	6.9%	Yes
STK10		5q35.1	AMP	35	509	6.9%	No
FGF18		5q35.1	AMP	35	509	6.9%	No
FBXW11		5q35.1	AMP	35	509	6.9%	No
TLX3		5q35.1	AMP	35	509	6.9%	Yes
KCNIP1		5q35.1	AMP	35	509	6.9%	No
RANBP17		5q35.1	AMP	35	509	6.9%	No
C5ORF58		5q35.1	AMP	35	509	6.9%	No
LINC01366		5q35.1	AMP	35	509	6.9%	No
EFCAB9		5q35.1	AMP	35	509	6.9%	No
SMIM23		5q35.1	AMP	35	509	6.9%	No
LINC01187		5q35.1	AMP	35	509	6.9%	No
CTD-2270F17.1		5q35.1	AMP	35	509	6.9%	No
DOCK2		5q35.1	AMP	34	509	6.7%	No
FOXI1		5q35.1	AMP	34	509	6.7%	No
SPDL1		5q35.1	AMP	34	509	6.7%	No
INSYN2B		5q35.1	AMP	34	509	6.7%	No
HMMR		5q34	AMP	33	509	6.5%	No
RARS		5q34	AMP	33	509	6.5%	No
SLIT3		5q34-q35.1	AMP	33	509	6.5%	No
WWC1		5q34	AMP	33	509	6.5%	No
MAT2B		5q34	AMP	33	509	6.5%	No
TENM2		5q34	AMP	33	509	6.5%	No
PANK3		5q34	AMP	33	509	6.5%	No
FBLL1		5q34	AMP	33	509	6.5%	No
LOC728095		5q35.1	AMP	33	509	6.5%	No
HMMR-AS1		5q34	AMP	33	509	6.5%	No
CTB-178M22.2		5q34	AMP	33	509	6.5%	No
LINC01947		5q34	AMP	33	509	6.5%	No
CCNG1		5q34	AMP	32	509	6.3%	No
GABRA1		5q34	AMP	32	509	6.3%	No
GABRA6		5q34	AMP	32	509	6.3%	Yes
GABRB2		5q34	AMP	32	509	6.3%	No
GABRG2		5q34	AMP	32	509	6.3%	No
NR3C1		5q31.3	AMP	32	509	6.3%	No
POU4F3		5q32	AMP	32	509	6.3%	No
PPP2R2B		5q32	AMP	32	509	6.3%	No
PCDHA9		5q31.3	AMP	32	509	6.3%	No
TCERG1		5q32	AMP	32	509	6.3%	No
ARHGAP26		5q31.3	AMP	32	509	6.3%	Yes
LARS		5q32	AMP	32	509	6.3%	No
RBM27		5q32	AMP	32	509	6.3%	No
PCDHAC2		5q31.3	AMP	32	509	6.3%	No
PCDHAC1		5q31.3	AMP	32	509	6.3%	No
PCDHA13		5q31.3	AMP	32	509	6.3%	No
PCDHA12		5q31.3	AMP	32	509	6.3%	No
PCDHA11		5q31.3	AMP	32	509	6.3%	No
PCDHA10		5q31.3	AMP	32	509	6.3%	No
PCDHA8		5q31.3	AMP	32	509	6.3%	No
PCDHA7		5q31.3	AMP	32	509	6.3%	No
PCDHA6		5q31.3	AMP	32	509	6.3%	No
PCDHA5		5q31.3	AMP	32	509	6.3%	No
PCDHA4		5q31.3	AMP	32	509	6.3%	No
PCDHA3		5q31.3	AMP	32	509	6.3%	No
PCDHA2		5q31.3	AMP	32	509	6.3%	No
PCDHA1		5q31.3	AMP	32	509	6.3%	No
KCTD16		5q31.3	AMP	32	509	6.3%	No
HMHB1		5q31.3	AMP	32	509	6.3%	No
YIPF5		5q31.3	AMP	32	509	6.3%	No
GPR151		5q32	AMP	32	509	6.3%	No
NUDCD2		5q34	AMP	32	509	6.3%	No
PRELID2		5q32	AMP	32	509	6.3%	No
SH3RF2		5q32	AMP	32	509	6.3%	No
PLAC8L1		5q32	AMP	32	509	6.3%	No
STK32A		5q32	AMP	32	509	6.3%	No
GRXCR2		5q32	AMP	32	509	6.3%	No
ARHGAP26-AS1		5q31.3	AMP	32	509	6.3%	No
PPP2R2B-IT1		5q32	AMP	32	509	6.3%	No
LINC02143		5q34	AMP	32	509	6.3%	No
LOC102546299		5q34	AMP	32	509	6.3%	No
ADRA1B		5q33.3	AMP	31	509	6.1%	No
CD14		5q31.3	AMP	31	509	6.1%	No
DIAPH1		5q31.3	AMP	31	509	6.1%	No
DPYSL3		5q32	AMP	31	509	6.1%	No
HBEGF		5q31.3	AMP	31	509	6.1%	No
EBF1		5q33.3	AMP	31	509	6.1%	Yes
FABP6		5q33.3	AMP	31	509	6.1%	No
FGF1		5q31.3	AMP	31	509	6.1%	No
HARS		5q31.3	AMP	31	509	6.1%	No
IK		5q31.3	AMP	31	509	6.1%	No
IL12B		5q33.3	AMP	31	509	6.1%	No
ITK		5q33.3	AMP	31	509	6.1%	Yes
NDUFA2		5q31.3	AMP	31	509	6.1%	No
PCDH1		5q31.3	AMP	31	509	6.1%	No
PCDHGC3		5q31.3	AMP	31	509	6.1%	No
PFDN1		5q31.3	AMP	31	509	6.1%	No
PURA		5q31.3	AMP	31	509	6.1%	No
SPINK1		5q32	AMP	31	509	6.1%	No
TAF7		5q31.3	AMP	31	509	6.1%	No
TTC1		5q33.3	AMP	31	509	6.1%	No
EIF4EBP3		5q31.3	AMP	31	509	6.1%	No
PCDHGB4		5q31.3	AMP	31	509	6.1%	No
ADAM19		5q33.3	AMP	31	509	6.1%	No
HDAC3		5q31.3	AMP	31	509	6.1%	No
PTTG1		5q33.3	AMP	31	509	6.1%	No
MED7		5q33.3	AMP	31	509	6.1%	No
NRG2		5q31.2	AMP	31	509	6.1%	No
RNF14		5q31.3	AMP	31	509	6.1%	No
PCDHGA8		5q31.3	AMP	31	509	6.1%	No
DELE1		5q31.3	AMP	31	509	6.1%	No
JAKMIP2		5q32	AMP	31	509	6.1%	No
GNPDA1		5q31.3	AMP	31	509	6.1%	No
SRA1		5q31.3	AMP	31	509	6.1%	No
APBB3		5q31.3	AMP	31	509	6.1%	No
SLU7		5q33.3	AMP	31	509	6.1%	No
SPINK5		5q32	AMP	31	509	6.1%	No
ATP10B		5q34	AMP	31	509	6.1%	No
HARS2		5q31.3	AMP	31	509	6.1%	No
PCDHGA12		5q31.3	AMP	31	509	6.1%	No
PCDHB5		5q31.3	AMP	31	509	6.1%	No
HAVCR1		5q33.3	AMP	31	509	6.1%	No
CYFIP2		5q33.3	AMP	31	509	6.1%	No
PCDHB1		5q31.3	AMP	31	509	6.1%	No
PCDH12		5q31.3	AMP	31	509	6.1%	No
PCDHB18P		5q31.3	AMP	31	509	6.1%	No
PCDHB17P		5q31.3	AMP	31	509	6.1%	No
WDR55		5q31.3	AMP	31	509	6.1%	No
ANKHD1		5q31.3	AMP	31	509	6.1%	No
TMCO6		5q31.3	AMP	31	509	6.1%	No
PCDHGC5		5q31.3	AMP	31	509	6.1%	No
PCDHGC4		5q31.3	AMP	31	509	6.1%	No
PCDHGB7		5q31.3	AMP	31	509	6.1%	No
PCDHGB6		5q31.3	AMP	31	509	6.1%	No
PCDHGB5		5q31.3	AMP	31	509	6.1%	No
PCDHGB3		5q31.3	AMP	31	509	6.1%	No
PCDHGB2		5q31.3	AMP	31	509	6.1%	No
PCDHGB1		5q31.3	AMP	31	509	6.1%	No
PCDHGA11		5q31.3	AMP	31	509	6.1%	No
PCDHGA10		5q31.3	AMP	31	509	6.1%	No
PCDHGA9		5q31.3	AMP	31	509	6.1%	No
PCDHGA7		5q31.3	AMP	31	509	6.1%	No
PCDHGA6		5q31.3	AMP	31	509	6.1%	No
PCDHGA5		5q31.3	AMP	31	509	6.1%	No
PCDHGA4		5q31.3	AMP	31	509	6.1%	No
PCDHGA3		5q31.3	AMP	31	509	6.1%	No
PCDHGA2		5q31.3	AMP	31	509	6.1%	No
PCDHGA1		5q31.3	AMP	31	509	6.1%	No
PCDHGB8P		5q31.3	AMP	31	509	6.1%	No
PCDHB15		5q31.3	AMP	31	509	6.1%	No
PCDHB14		5q31.3	AMP	31	509	6.1%	No
PCDHB13		5q31.3	AMP	31	509	6.1%	No
PCDHB12		5q31.3	AMP	31	509	6.1%	No
PCDHB11		5q31.3	AMP	31	509	6.1%	No
PCDHB10		5q31.3	AMP	31	509	6.1%	No
PCDHB9		5q31.3	AMP	31	509	6.1%	No
PCDHB8		5q31.3	AMP	31	509	6.1%	No
PCDHB7		5q31.3	AMP	31	509	6.1%	No
PCDHB6		5q31.3	AMP	31	509	6.1%	No
PCDHB4		5q31.3	AMP	31	509	6.1%	No
PCDHB3		5q31.3	AMP	31	509	6.1%	No
PCDHB2		5q31.3	AMP	31	509	6.1%	No
VTRNA1-3		5q31.3	AMP	31	509	6.1%	No
VTRNA1-2		5q31.3	AMP	31	509	6.1%	No
VTRNA1-1		5q31.3	AMP	31	509	6.1%	No
PCDHB16		5q31.3	AMP	31	509	6.1%	No
ZBED8		5q33.3	AMP	31	509	6.1%	No
ARAP3		5q31.3	AMP	31	509	6.1%	No
CCNJL		5q33.3	AMP	31	509	6.1%	No
NDFIP1		5q31.3	AMP	31	509	6.1%	No
SPRY4		5q31.3	AMP	31	509	6.1%	No
SLC4A9		5q31.3	AMP	31	509	6.1%	No
SLC25A2		5q31.3	AMP	31	509	6.1%	No
PCDHB19P		5q31.3	AMP	31	509	6.1%	No
PSD2		5q31.2	AMP	31	509	6.1%	No
CYSTM1		5q31.3	AMP	31	509	6.1%	No
HAVCR2		5q33.3	AMP	31	509	6.1%	No
FCHSD1		5q31.3	AMP	31	509	6.1%	No
SLC35A4		5q31.3	AMP	31	509	6.1%	No
PWWP2A		5q33.3	AMP	31	509	6.1%	No
C1QTNF2		5q33.3	AMP	31	509	6.1%	No
SCGB3A2		5q32	AMP	31	509	6.1%	No
UBLCP1		5q33.3	AMP	31	509	6.1%	No
JAKMIP2-AS1		5q32	AMP	31	509	6.1%	No
ZMAT2		5q31.3	AMP	31	509	6.1%	No
FAM71B		5q33.3	AMP	31	509	6.1%	No
RNF145		5q33.3	AMP	31	509	6.1%	No
RELL2		5q31.3	AMP	31	509	6.1%	No
LOC285626		5q33.3	AMP	31	509	6.1%	No
LINC01845		5q33.3	AMP	31	509	6.1%	No
LINC02159		5q34	AMP	31	509	6.1%	No
DND1		5q31.3	AMP	31	509	6.1%	No
C5ORF46		5q32	AMP	31	509	6.1%	No
ANKHD1-EIF4EBP3		5q31.3	AMP	31	509	6.1%	No
SPINK14		5q32	AMP	31	509	6.1%	No
FNDC9		5q33.3	AMP	31	509	6.1%	No
IGIP		5q31.3	AMP	31	509	6.1%	No
LOC729080		5q31.3	AMP	31	509	6.1%	No
MALINC1		5q31.3	AMP	31	509	6.1%	No
LOC100505658		5q31.3	AMP	31	509	6.1%	No
LOC101926905		5q31.3	AMP	31	509	6.1%	No
LINC01844		5q31.3	AMP	31	509	6.1%	No
LINC02227		5q33.3	AMP	31	509	6.1%	No
LINC02202		5q33.3	AMP	31	509	6.1%	No
LINC01847		5q33.3	AMP	31	509	6.1%	No
CAMK2A		5q32	AMP	30	509	5.9%	No
CDC25C		5q31.2	AMP	30	509	5.9%	No
CDX1		5q32	AMP	30	509	5.9%	No
CSF1R		5q32	AMP	30	509	5.9%	Yes
CSNK1A1		5q32	AMP	30	509	5.9%	No
CTNNA1		5q31.2	AMP	30	509	5.9%	Yes
SLC26A2		5q32	AMP	30	509	5.9%	No
EGR1		5q31.2	AMP	30	509	5.9%	Yes
ETF1		5q31.2	AMP	30	509	5.9%	No
GFRA3		5q31.2	AMP	30	509	5.9%	No
GM2A		5q33.1	AMP	30	509	5.9%	No
HSPA9		5q31.2	AMP	30	509	5.9%	No
HTR4		5q32	AMP	30	509	5.9%	No
PDE6A		5q32	AMP	30	509	5.9%	No
PDGFRB		5q32	AMP	30	509	5.9%	Yes
SGCD		5q33.2-q33.3	AMP	30	509	5.9%	No
SLC6A7		5q32	AMP	30	509	5.9%	No
UBE2D2		5q31.2	AMP	30	509	5.9%	No
HAND1		5q33.2	AMP	30	509	5.9%	No
CLINT1		5q33.3	AMP	30	509	5.9%	No
MATR3		5q31.2	AMP	30	509	5.9%	No
SLC23A1		5q31.2	AMP	30	509	5.9%	No
SOX30		5q33.3	AMP	30	509	5.9%	No
HMGXB3		5q32	AMP	30	509	5.9%	No
LRRTM2		5q31.2	AMP	30	509	5.9%	No
SNORD63		5q31.2	AMP	30	509	5.9%	No
SNORA74A		5q31.2	AMP	30	509	5.9%	No
IL17B		5q32	AMP	30	509	5.9%	No
MZB1		5q31.2	AMP	30	509	5.9%	No
PAIP2		5q31.2	AMP	30	509	5.9%	No
FAM53C		5q31.2	AMP	30	509	5.9%	No
REEP2		5q31.2	AMP	30	509	5.9%	No
CXXC5		5q31.2	AMP	30	509	5.9%	No
KDM3B		5q31.2	AMP	30	509	5.9%	No
THG1L		5q33.3	AMP	30	509	5.9%	No
GALNT10		5q33.2	AMP	30	509	5.9%	No
SIL1		5q31.2	AMP	30	509	5.9%	No
PCYOX1L		5q32	AMP	30	509	5.9%	No
SAP30L		5q33.2	AMP	30	509	5.9%	No
FBXO38		5q32	AMP	30	509	5.9%	No
TIGD6		5q32	AMP	30	509	5.9%	No
SPINK7		5q32	AMP	30	509	5.9%	No
TIMD4		5q33.3	AMP	30	509	5.9%	No
PPARGC1B		5q32	AMP	30	509	5.9%	No
AFAP1L1		5q32	AMP	30	509	5.9%	No
GRPEL2		5q32	AMP	30	509	5.9%	No
LSM11		5q33.3	AMP	30	509	5.9%	No
SLC36A2		5q33.1	AMP	30	509	5.9%	No
SPINK13		5q32	AMP	30	509	5.9%	No
PPP1R2B		5q33.3	AMP	30	509	5.9%	No
SPATA24		5q31.2	AMP	30	509	5.9%	No
DNAJC18		5q31.2	AMP	30	509	5.9%	No
SLC36A1		5q33.1	AMP	30	509	5.9%	No
SLC36A3		5q33.1	AMP	30	509	5.9%	No
TMEM173		5q31.2	AMP	30	509	5.9%	No
ARSI		5q32	AMP	30	509	5.9%	No
NIPAL4		5q33.3	AMP	30	509	5.9%	No
SAP30L-AS1		5q33.2	AMP	30	509	5.9%	No
PROB1		5q31.2	AMP	30	509	5.9%	No
ARHGEF37		5q32	AMP	30	509	5.9%	No
SPINK6		5q32	AMP	30	509	5.9%	No
ECSCR		5q31.2	AMP	30	509	5.9%	No
SPINK9		5q32	AMP	30	509	5.9%	No
LOC644762		5q32	AMP	30	509	5.9%	No
SNHG4		5q31.2	AMP	30	509	5.9%	No
CARMN		5q32	AMP	30	509	5.9%	No
C5ORF52		5q33.3	AMP	30	509	5.9%	No
PSD2-AS1		5q31.2	AMP	30	509	5.9%	No
LOC102546294		5q32	AMP	30	509	5.9%	No
ADRB2		5q32	AMP	29	509	5.7%	No
ANXA6		5q33.1	AMP	29	509	5.7%	No
ATOX1		5q33.1	AMP	29	509	5.7%	No
CD74		5q33.1	AMP	29	509	5.7%	Yes
FAT2		5q33.1	AMP	29	509	5.7%	No
GLRA1		5q33.1	AMP	29	509	5.7%	No
GPX3		5q33.1	AMP	29	509	5.7%	No
NDST1		5q33.1	AMP	29	509	5.7%	No
NPY6R		5q31.2	AMP	29	509	5.7%	No
RPS14		5q33.1	AMP	29	509	5.7%	No
SPARC		5q33.1	AMP	29	509	5.7%	No
SPOCK1		5q31.2	AMP	29	509	5.7%	No
TCOF1		5q32-q33.1	AMP	29	509	5.7%	No
WNT8A		5q31.2	AMP	29	509	5.7%	No
NME5		5q31.2	AMP	29	509	5.7%	No
CDC23		5q31.2	AMP	29	509	5.7%	No
CNOT8		5q33.2	AMP	29	509	5.7%	No
MYOT		5q31.2	AMP	29	509	5.7%	No
KIF20A		5q31.2	AMP	29	509	5.7%	No
G3BP1		5q33.1	AMP	29	509	5.7%	No
TNIP1		5q33.1	AMP	29	509	5.7%	No
FAXDC2		5q33.2	AMP	29	509	5.7%	No
BRD8		5q31.2	AMP	29	509	5.7%	No
HNRNPA0		5q31.2	AMP	29	509	5.7%	No
SYNPO		5q33.1	AMP	29	509	5.7%	No
ABLIM3		5q32	AMP	29	509	5.7%	No
LARP1		5q33.2	AMP	29	509	5.7%	No
GEMIN5		5q33.2	AMP	29	509	5.7%	No
CCDC69		5q33.1	AMP	29	509	5.7%	No
KLHL3		5q31.2	AMP	29	509	5.7%	No
PKD2L2		5q31.2	AMP	29	509	5.7%	No
MRPL22		5q33.2	AMP	29	509	5.7%	No
DCTN4		5q33.1	AMP	29	509	5.7%	No
FAM13B		5q31.2	AMP	29	509	5.7%	No
RBM22		5q33.1	AMP	29	509	5.7%	No
SH3TC2		5q32	AMP	29	509	5.7%	No
SMIM3		5q33.1	AMP	29	509	5.7%	No
ZNF300		5q33.1	AMP	29	509	5.7%	No
MYOZ3		5q33.1	AMP	29	509	5.7%	No
ZNF300P1		5q33.1	AMP	29	509	5.7%	No
KIF4B		5q33.2	AMP	29	509	5.7%	No
IRGM		5q33.1	AMP	29	509	5.7%	No
LOC100652758		5q33.1	AMP	29	509	5.7%	No
CLMAT3		5q33.1	AMP	29	509	5.7%	No
LINC01933		5q33.1	AMP	29	509	5.7%	No
NDST1-AS1		5q33.1	AMP	29	509	5.7%	No
GRIA1		5q33.2	AMP	28	509	5.5%	No
HSPA4		5q31.1	AMP	28	509	5.5%	No
IL9		5q31.1	AMP	28	509	5.5%	No
LECT2		5q31.1	AMP	28	509	5.5%	No
SMAD5		5q31.1	AMP	28	509	5.5%	No
MFAP3		5q33.2	AMP	28	509	5.5%	No
NEUROG1		5q31.1	AMP	28	509	5.5%	No
PITX1		5q31.1	AMP	28	509	5.5%	No
TGFBI		5q31.1	AMP	28	509	5.5%	No
VDAC1		5q31.1	AMP	28	509	5.5%	No
CXCL14		5q31.1	AMP	28	509	5.5%	No
H2AFY		5q31.1	AMP	28	509	5.5%	No
SMAD5-AS1		5q31.1	AMP	28	509	5.5%	No
DDX46		5q31.1	AMP	28	509	5.5%	No
FAM114A2		5q33.2	AMP	28	509	5.5%	No
FBXL21P		5q31.1	AMP	28	509	5.5%	No
ZCCHC10		5q31.1	AMP	28	509	5.5%	No
NMUR2		5q33.1	AMP	28	509	5.5%	No
C5ORF15		5q31.1	AMP	28	509	5.5%	No
TRPC7		5q31.1	AMP	28	509	5.5%	No
TXNDC15		5q31.1	AMP	28	509	5.5%	No
PCBD2		5q31.1	AMP	28	509	5.5%	No
C5ORF24		5q31.1	AMP	28	509	5.5%	No
DCANP1		5q31.1	AMP	28	509	5.5%	No
SLC25A48		5q31.1	AMP	28	509	5.5%	No
C5ORF66-AS2		5q31.1	AMP	28	509	5.5%	No
LINC01959		5q31.1	AMP	28	509	5.5%	No
CATSPER3		5q31.1	AMP	28	509	5.5%	No
SMIM32		5q31.1	AMP	28	509	5.5%	No
TIFAB		5q31.1	AMP	28	509	5.5%	No
VTRNA2-1		5q31.1	AMP	28	509	5.5%	No
C5ORF66		5q31.1	AMP	28	509	5.5%	No
C5ORF66-AS1		5q31.1	AMP	28	509	5.5%	No
GDF9		5q31.1	AMP	27	509	5.3%	No
PPP2CA		5q31.1	AMP	27	509	5.3%	No
SKP1		5q31.1	AMP	27	509	5.3%	No
TCF7		5q31.1	AMP	27	509	5.3%	No
UBE2B		5q31.1	AMP	27	509	5.3%	No
FSTL4		5q31.1	AMP	27	509	5.3%	No
SEPTIN8		5q31.1	AMP	27	509	5.3%	No
ACSL6		5q31.1	AMP	27	509	5.3%	Yes
UQCRQ		5q31.1	AMP	27	509	5.3%	No
AFF4		5q31.1	AMP	27	509	5.3%	Yes
CDKL3		5q31.1	AMP	27	509	5.3%	No
CDKN2AIPNL		5q31.1	AMP	27	509	5.3%	No
FNIP1		5q31.1	AMP	27	509	5.3%	No
LEAP2		5q31.1	AMP	27	509	5.3%	No
SOWAHA		5q31.1	AMP	27	509	5.3%	No
SHROOM1		5q31.1	AMP	27	509	5.3%	No
MEIKIN		5q31.1	AMP	27	509	5.3%	No
LINC01470		5q33.1	AMP	27	509	5.3%	No
LOC102546229		5q31.1	AMP	27	509	5.3%	No
CAMLG		5q31.1	AMP	26	509	5.1%	No
CSF2		5q31.1	AMP	26	509	5.1%	No
HINT1		5q23.3	AMP	26	509	5.1%	No
IL3		5q31.1	AMP	26	509	5.1%	Yes
IL4		5q31.1	AMP	26	509	5.1%	No
IL5		5q31.1	AMP	26	509	5.1%	No
IL13		5q31.1	AMP	26	509	5.1%	No
IRF1		5q31.1	AMP	26	509	5.1%	Yes
SLC22A4		5q31.1	AMP	26	509	5.1%	No
SLC22A5		5q31.1	AMP	26	509	5.1%	No
PDLIM4		5q31.1	AMP	26	509	5.1%	No
P4HA2		5q31.1	AMP	26	509	5.1%	No
RAD50		5q31.1	AMP	26	509	5.1%	Yes
SEC24A		5q31.1	AMP	26	509	5.1%	No
KIF3A		5q31.1	AMP	26	509	5.1%	No
JADE2		5q31.1	AMP	26	509	5.1%	No
