sample	chromosome	start	stop	mean	count
W1-1-1,W1-1-2	9	24382557	24460002	-0.563	36
W1-1-1,W1-1-2	9	24463420	24470094	-0.361	18
W1-1-1,W1-1-2	9	24478577	24482668	-0.333	12
W1-1-1,W1-1-2	9	24583750	24714238	-0.359	91
W1-1-1,W1-1-2	9	24847178	27618779	-0.402	2131
W1-1-1,W1-1-2	9	27671898	28680869	-0.414	873
W1-1-1,W1-1-2	9	29635696	30326715	-0.42	517
W1-1-1,W1-1-2	9	30495679	30758417	-0.409	169
W1-1-1,W1-1-2	9	30876943	30938211	-0.47	47
W1-1-1,W1-1-2	9	31020472	31818555	-0.411	558
W1-1-1,W1-1-2	9	31960004	32397153	-0.46	384
W1-1-1,W1-1-2	9	3549666	4029009	-0.431	520
W1-1-1,W1-1-2	9	43315671	43795576	-0.864	53
W1-1-1,W1-1-2	9	5082996	5701769	-0.428	460
W1-1-1,W1-1-2	9	5915653	6342735	-0.46	284
W1-1-1,W1-1-2	9	6811781	7714889	-0.451	1038
W1-1-1,W1-1-2	9	7860478	8167323	-0.44	247
W1-1-1,W1-1-2	9	833172	1428059	-0.464	657
W1-1-1,W1-1-2	9	8425271	8697215	-0.487	260
W1-1-1,W1-1-2	9	90415220	90415225	-2.073	2
W1-1-1,W1-1-2	9	9224801	9511248	-0.46	287
W1-1-1,W1-1-2	10	133650000	135506705	-0.258	893
W1-1-1,W1-1-2	10	1605741	18173964	-0.354	14317
W1-1-1,W1-1-2	10	18185124	18196770	-1.873	2
W1-1-1,W1-1-2	10	18199814	24375264	-0.361	4442
W1-1-1,W1-1-2	10	24377675	24378952	0.434	13
W1-1-1,W1-1-2	10	24379008	38535721	-0.342	10074
W1-1-1,W1-1-2	10	38542357	52005303	-0.306	4892
W1-1-1,W1-1-2	10	52006252	67308710	-0.347	11275
W1-1-1,W1-1-2	10	67308738	67314431	-1.202	20
W1-1-1,W1-1-2	10	67314447	70023567	-0.35	1841
W1-1-1,W1-1-2	10	70025936	70971474	-0.281	542
W1-1-1,W1-1-2	10	70973409	70973454	-2.514	2
W1-1-1,W1-1-2	10	70975916	73592330	-0.278	2155
W1-1-1,W1-1-2	10	72760	1605715	-0.319	1022
W1-1-1,W1-1-2	10	73593965	133649738	-0.321	42145
W1-1-1,W1-1-2	11	125075322	125083705	-0.55	30
W1-1-1,W1-1-2	11	55374033	55453577	0.382	65
W1-1-1,W1-1-2	11	85889659	85898822	-0.555	17
W1-1-1,W1-1-2	12	101008501	101178993	-0.462	97
W1-1-1,W1-1-2	12	101439339	101530092	-0.407	84
W1-1-1,W1-1-2	12	11511578	11543407	-0.477	33
W1-1-1,W1-1-2	12	74963886	76771613	-0.455	1248
W1-1-1,W1-1-2	12	77809133	78033881	-0.477	213
W1-1-1,W1-1-2	12	78116508	79805885	-0.491	1152
W1-1-1,W1-1-2	12	79893135	80580111	-0.465	385
W1-1-1,W1-1-2	12	80728225	80740992	0.478	5
W1-1-1,W1-1-2	12	80804665	80929928	-0.501	92
W1-1-1,W1-1-2	12	81143464	83891930	-0.47	1769
W1-1-1,W1-1-2	12	83896900	83899210	0.881	2
W1-1-1,W1-1-2	12	83899375	83960889	-0.422	34
W1-1-1,W1-1-2	12	84264354	85142167	-0.492	553
W1-1-1,W1-1-2	12	85253950	85452250	-0.502	91
W1-1-1,W1-1-2	12	86269771	86505220	-0.475	129
W1-1-1,W1-1-2	12	86778905	86789944	-0.595	7
W1-1-1,W1-1-2	12	86814515	86908590	-0.553	46
W1-1-1,W1-1-2	12	88421039	89303279	-0.462	505
W1-1-1,W1-1-2	12	89439749	89859593	-0.459	265
W1-1-1,W1-1-2	12	89975703	89994048	-0.442	11
W1-1-1,W1-1-2	12	89995466	90010355	0.205	6
W1-1-1,W1-1-2	12	90012747	90051547	-0.507	23
W1-1-1,W1-1-2	12	90515365	90966674	-0.463	290
W1-1-1,W1-1-2	12	91587683	91612845	-0.482	26
W1-1-1,W1-1-2	12	91893018	92634415	-0.469	530
W1-1-1,W1-1-2	12	94138080	94177958	-0.561	36
W1-1-1,W1-1-2	12	94859009	95491606	-0.45	525
W1-1-1,W1-1-2	12	96761458	100424314	-0.448	2599
W1-1-1,W1-1-2	13	22236266	38071135	-0.431	12078
W1-1-1,W1-1-2	13	38072037	38084758	-1.59	16
W1-1-1,W1-1-2	13	38088331	70926407	-0.448	21070
W1-1-1,W1-1-2	14	106547315	106561442	-2.2	10
W1-1-1,W1-1-2	14	106796026	106821737	0.672	11
W1-1-1,W1-1-2	14	106918650	106943835	0.615	13
W1-1-1,W1-1-2	14	107160400	107176213	-0.28	20
W1-1-1,W1-1-2	14	19693232	19697886	-1.179	3
W1-1-1,W1-1-2	16	21601729	21743133	-0.609	95
W1-1-1,W1-1-2	17	18355393	18464587	-0.905	29
W1-1-1,W1-1-2	17	25271295	39421709	-0.262	8165
W1-1-1,W1-1-2	17	39423015	39430451	0.482	23
W1-1-1,W1-1-2	17	39430532	43648541	-0.234	2224
W1-1-1,W1-1-2	17	43650954	43659881	-0.62	17
W1-1-1,W1-1-2	17	43659975	43841912	-0.293	121
W1-1-1,W1-1-2	17	43952420	44177108	-0.282	179
W1-1-1,W1-1-2	17	44177459	44352872	-0.622	120
W1-1-1,W1-1-2	17	44353885	53007641	-0.274	5079
W1-1-1,W1-1-2	17	60317579	60581076	0.355	115
W1-1-1,W1-1-2	17	66224017	66393689	0.233	120
W1-1-1,W1-1-2	17	66503951	66553914	0.326	35
W1-1-1,W1-1-2	17	66714228	81049726	0.244	8893
W1-1-1,W1-1-2	19	12538766	12538883	-2.053	2
W1-1-1,W1-1-2	20	1560952	1593894	0.992	47
W1-1-1,W1-1-2	20	493243	493243	-0.958	2
W1-1-1,W1-1-2	20	809837	809930	-1.058	2
W1-1-1,W1-1-2	21	9764385	11083847	0.309	112
W1-1-1,W1-1-2	22	24350530	24396815	-1.178	20
W1-1-1,W1-1-2	22	24876800	24877293	-0.704	3
W1-1-1,W1-1-2	22	25658525	25918709	0.37	310
W1-1-1,W1-1-2	23	2707734	154964056	-0.261	86764
W1-1-1,W1-1-2	24	13800929	27066040	0.739	5642
W1-1-1,W1-1-2	24	2650439	2928909	0.654	143
W1-1-1,W1-1-2	24	27066057	27224322	2.196	4
W1-1-1,W1-1-2	24	27232092	27723775	0.593	114
W1-1-1,W1-1-2	24	27727174	28470991	0.84	275
W1-1-1,W1-1-2	24	28476040	28776731	0.594	170
W1-1-1,W1-1-2	24	2929514	6107902	0.438	1035
W1-1-1,W1-1-2	24	6110499	9927723	0.734	1957
W1-1-1,W1-1-2	24	9929689	13414259	0.404	65
W1-1-1,W1-1-2	25	11467	11474	-2.665	2
W2-1-1	1	10269566	10971448	-0.376	412
W2-1-1	1	11449746	12018290	-0.387	325
W2-1-1	1	1187588	2282355	-0.418	311
W2-1-1	1	12892310	12913148	-0.561	9
W2-1-1	1	12915847	13384633	-0.219	34
W2-1-1	1	13431653	14429250	-0.426	584
W2-1-1	1	14467971	14490497	-0.434	17
W2-1-1	1	152552820	152586541	-1.116	38
W2-1-1	1	169233975	169241767	-2.154	7
W2-1-1	1	17182438	17261094	-0.3	59
W2-1-1	1	17356084	25099438	-0.408	5067
W2-1-1	1	194451412	194455019	-1.833	2
W2-1-1	1	196812531	196815792	-1.694	2
W2-1-1	1	199090061	199113841	-0.328	36
W2-1-1	1	210081614	210093571	0.692	6
W2-1-1	1	210890191	210890627	-1.415	2
W2-1-1	1	215493470	215499105	-0.801	7
W2-1-1	1	215802638	215914771	-0.499	73
W2-1-1	1	223441181	223441672	-1.466	2
W2-1-1	1	235600590	235601006	-1.081	4
W2-1-1	1	2363327	6498164	-0.414	2637
W2-1-1	1	30605687	31185639	-0.42	528
W2-1-1	1	37525003	38392260	-0.385	507
W2-1-1	1	51314622	51726484	-0.433	167
W2-1-1	1	52760972	53701813	-0.428	574
W2-1-1	1	53916576	54827135	0.241	629
W2-1-1	1	61736	752566	0.289	50
W2-1-1	1	72768937	72811134	-1.435	44
W2-1-1	1	7961294	8192626	-0.407	124
W2-1-1	1	8192925	8336256	-0.575	91
W2-1-1	1	824137	1018704	-0.268	31
W2-1-1	1	8337590	9650418	-0.41	738
W2-1-1	2	226421523	226706454	0.304	173
W2-1-1	3	100326306	100442510	0.626	63
W2-1-1	3	113563881	113908226	0.32	177
W2-1-1	3	162513460	162625996	0.388	69
W2-1-1	3	192878046	192882904	-1.239	18
W2-1-1	3	195528372	197834721	-0.423	1145
W2-1-1	3	46801818	46847617	-0.579	39
W2-1-1	3	47399912	47405452	-0.778	4
W2-1-1	3	47491823	47492721	-2.15	2
W2-1-1	3	47818570	47880813	0.253	51
W2-1-1	3	65189236	65199569	-0.495	31
W2-1-1	3	65207266	65210453	-0.457	10
W2-1-1	3	68746260	68747414	0.847	14
W2-1-1	3	98937785	98949309	-0.429	38
W2-1-1	4	10214160	10236142	0.758	37
W2-1-1	5	12815866	12820077	-1.655	8
W2-1-1	5	172758076	173798385	0.278	936
W2-1-1	5	178313487	178324615	-0.763	5
W2-1-1	5	180398272	180414466	0.484	9
W2-1-1	5	32107084	32170288	0.392	41
W2-1-1	5	35838776	35839233	-1.395	3
W2-1-1	5	46271931	46273503	-2.444	6
W2-1-1	6	104909015	104929611	-0.539	21
W2-1-1	6	153413204	153467469	0.363	29
W2-1-1	6	153489648	153630495	0.36	101
W2-1-1	6	154099373	154114583	-0.478	17
W2-1-1	6	158702740	158706666	-0.812	5
W2-1-1	6	29850381	29901577	-0.622	22
W2-1-1	6	31286532	31296452	-1.183	10
W2-1-1	6	32456684	32654640	-0.365	75
W2-1-1	6	74592225	74597342	-2.745	9
W2-1-1	6	78962293	79026702	-0.334	107
W2-1-1	7	133785196	133787088	-2.122	15
W2-1-1	7	133787147	133789998	-0.401	7
W2-1-1	7	133790012	133790444	-2.341	3
W2-1-1	7	141769644	141792108	-1.609	43
W2-1-1	7	54451795	55100020	1.801	503
W2-1-1	7	55100035	55292626	1.653	303
W2-1-1	7	55293361	55459501	1.783	109
W2-1-1	7	70420990	70426142	-2.901	3
W2-1-1	7	73378543	74268414	0.37	298
W2-1-1	7	76197431	76813298	0.352	330
W2-1-1	7	76813357	133785178	0.203	35486
W2-1-1	8	103403718	104359721	0.287	614
W2-1-1	8	104830500	104830971	-1.266	2
W2-1-1	8	112294647	112295261	-1.744	7
W2-1-1	8	132822037	135579401	-0.422	2459
W2-1-1	8	14348995	14349239	-1.674	2
W2-1-1	8	24975501	24979907	0.314	12
W2-1-1	8	24979930	24984142	0.6	7
W2-1-1	8	3252114	3252268	-1.489	2
W2-1-1	8	3750935	3751130	-2.107	2
W2-1-1	8	39235604	39386966	-2.045	60
W2-1-1	8	595323	595876	0.568	7
W2-1-1	8	595893	595909	1.986	2
W2-1-1	8	7250381	7809907	-0.33	156
W2-1-1	9	12372865	18680679	-0.4	5447
W2-1-1	9	18680771	21089455	-0.346	2019
W2-1-1	9	203310	602904	-0.381	503
W2-1-1	9	21091240	23587811	-1.098	1827
W2-1-1	9	23590659	39228836	-0.383	10924
W2-1-1	9	44727860	44824264	0.452	35
W2-1-1	9	606700	606962	-1.774	4
W2-1-1	9	607308	12345273	-0.391	11372
W2-1-1	10	124344224	124351013	-1.763	5
W2-1-1	10	124356813	135506705	-0.315	8180
W2-1-1	10	24377677	24378055	-1.504	9
W2-1-1	10	24378909	124344110	-0.318	65656
W2-1-1	10	2919912	2919975	-1.692	3
W2-1-1	10	2922766	4780085	-0.326	1844
W2-1-1	10	4780398	4780398	-2.867	2
W2-1-1	10	4782651	24377676	-0.331	15550
W2-1-1	10	72760	2919593	-0.327	2386
W2-1-1	11	105901328	105901689	-1.642	3
W2-1-1	11	107315131	107328544	-0.496	10
W2-1-1	11	107784508	107785099	-3.872	2
W2-1-1	11	134609558	134609567	-1.741	2
W2-1-1	11	77671281	78079503	0.27	235
W2-1-1	11	99827947	99828225	-1.336	4
W2-1-1	12	112123284	112123565	-1.805	2
W2-1-1	12	119988888	119994048	-0.534	18
W2-1-1	12	12729316	13262064	0.285	357
W2-1-1	12	13264733	13264787	-0.944	2
W2-1-1	12	13266755	13591738	0.289	364
W2-1-1	12	13593482	13594914	-0.444	4
W2-1-1	12	13595793	13788475	0.276	186
W2-1-1	12	1486636	1486886	-1.464	3
W2-1-1	12	31297871	31411215	0.349	93
W2-1-1	12	52368265	53378354	0.257	914
W2-1-1	12	869110	872257	0.428	10
W2-1-1	12	90491670	90492075	-1.405	7
W2-1-1	12	9633871	9690976	-1.028	15
W2-1-1	13	106631066	106839934	-0.461	192
W2-1-1	13	38072037	38084758	-1.912	16
W2-1-1	13	72477556	72480557	-2.005	4
W2-1-1	14	106541754	106567101	0.736	13
W2-1-1	14	106882343	106918109	0.23	50
W2-1-1	14	19402243	19469521	-0.622	13
W2-1-1	14	42987866	42992488	-2.422	4
W2-1-1	14	76912437	77311296	0.283	298
W2-1-1	14	77311842	77315299	-0.603	3
W2-1-1	14	77318379	77953517	0.29	440
W2-1-1	14	80206852	80207193	-1.305	3
W2-1-1	15	20016329	20291314	-0.312	62
W2-1-1	15	20586484	20586958	0.498	9
W2-1-1	15	22755173	60844179	-0.393	24645
W2-1-1	15	61175652	76869789	-0.386	9881
W2-1-1	15	76869929	76902373	-0.858	29
W2-1-1	15	76902425	102469041	-0.399	18185
W2-1-1	16	19945651	19967363	-0.456	30
W2-1-1	16	33963581	33963970	-2.142	2
W2-1-1	16	34466572	34765217	0.284	176
W2-1-1	17	40998479	41582301	0.234	345
W2-1-1	17	70437043	70577783	0.269	95
W2-1-1	17	73830190	74157537	0.279	128
W2-1-1	18	29796033	29796406	-1.95	2
W2-1-1	18	38258071	38258336	-0.875	8
W2-1-1	18	63907435	63911590	-0.522	12
W2-1-1	19	36846151	36846191	-2.478	2
W2-1-1	19	36846629	36847499	-0.421	8
W2-1-1	19	36847638	44136431	0.23	3828
W2-1-1	19	56282536	56283068	-1.675	4
W2-1-1	20	1561581	1593894	0.931	45
W2-1-1	20	19917432	20036178	0.286	146
W2-1-1	21	10942933	15337085	-0.256	507
W2-1-1	21	15338437	34388733	-0.439	14267
W2-1-1	21	9764385	10940643	-0.408	39
W2-1-1	22	16052529	17149033	-0.215	220
W2-1-1	22	17149797	24330219	-0.38	4637
W2-1-1	22	24330270	24331968	-2.334	2
W2-1-1	22	24332626	51198906	-0.394	19563
W2-1-1	23	1533443	1966718	0.252	80
W2-1-1	23	23501496	23945677	0.641	336
W2-1-1	23	23946605	44075667	0.315	12798
W2-1-1	23	2703633	23501350	0.314	14600
W2-1-1	23	44077127	44734176	0.598	358
W2-1-1	23	44740282	154966635	0.294	58677
W2-1-1	24	14000210	18236071	-1.085	2314
W2-1-1	24	18237685	21055214	-1.319	1396
W2-1-1	24	21056424	24023072	-1.122	1221
W2-1-1	24	24069899	26244615	-1.43	488
W2-1-1	24	26244826	26513716	-0.7	77
W2-1-1	24	2650439	2978679	-1.003	164
W2-1-1	24	26517534	27367488	-1.717	102
W2-1-1	24	27387928	27718291	-0.677	97
W2-1-1	24	27720552	28523424	-1.396	299
W2-1-1	24	28525752	28799936	-0.686	159
W2-1-1	24	2985596	6101426	-0.522	1013
W2-1-1	24	58977087	58993574	-0.282	29
W2-1-1	24	59017751	59018128	-0.954	7
W2-1-1	24	6107902	6400206	-1.414	125
W2-1-1	24	6400538	6648184	-0.593	96
W2-1-1	24	6648762	9927723	-1.15	1737
W2-1-1	24	9929689	13997381	-0.585	125
W3-1-1	1	106019237	106022376	-2.177	16
W3-1-1	1	149041723	149644970	-0.395	185
W3-1-1	1	152555528	152586595	0.82	36
W3-1-1	1	210081614	210083985	-2.802	3
W3-1-1	1	55093292	55094390	-5.618	2
W3-1-1	1	89476427	89478206	-2.656	3
W3-1-1	1	92754727	94308206	-0.59	791
W3-1-1	4	10214160	10231499	-1.934	28
W3-1-1	4	172989149	172989534	-1.958	12
W3-1-1	5	12815781	12826651	-1.49	11
W3-1-1	5	46271931	46273503	-2.618	6
W3-1-1	7	51654263	51833784	2.243	166
W3-1-1	7	51835276	52312505	-0.214	399
W3-1-1	7	54386510	54386518	-2.202	5
W3-1-1	7	54416829	54417098	-0.749	3
W3-1-1	7	54667926	54671516	-0.816	4
W3-1-1	7	54824351	55293361	2.153	526
W3-1-1	7	55300905	55655787	-0.252	244
W3-1-1	7	66612444	67035326	0.344	250
W3-1-1	7	70420990	70426142	-3.388	3
W3-1-1	8	39226350	39388300	0.457	65
W3-1-1	9	138215623	138216413	-3.19	2
W3-1-1	9	141012349	141045821	0.387	18
W3-1-1	9	141045895	141091395	-0.296	12
W3-1-1	9	208469	216124	-1.43	2
W3-1-1	9	216721	602904	-0.521	497
W3-1-1	9	21976871	22027005	-1.187	59
W3-1-1	9	22033182	22037370	-1.137	4
W3-1-1	9	22096339	22107005	-1.376	10
W3-1-1	9	22199231	22211571	-1.36	12
W3-1-1	9	22762483	22780588	-1.17	12
W3-1-1	9	22949915	22965874	-1.227	11
W3-1-1	9	23055393	23091724	-1.268	29
W3-1-1	9	23170528	23185563	-1.491	18
W3-1-1	9	23495183	23528500	-1.232	28
W3-1-1	9	23689717	23695277	-1.352	10
W3-1-1	9	23727356	23747791	-1.28	19
W3-1-1	9	2731748	2804812	-0.202	66
W3-1-1	9	2806641	2829786	-1.224	26
W3-1-1	9	2873150	2916953	-1.308	42
W3-1-1	9	3024581	3028903	-1.334	8
W3-1-1	9	3131882	3132236	-1.21	3
W3-1-1	9	3187638	3217055	-1.338	26
W3-1-1	9	3220262	3224550	-0.507	7
W3-1-1	9	3288471	3602811	-0.582	179
W3-1-1	9	33034051	44855738	0.208	4044
W3-1-1	9	3602891	3604658	-1.174	3
W3-1-1	9	37747	208408	-0.252	37
W3-1-1	9	606700	606962	-2.659	4
W3-1-1	9	607308	2731716	-0.505	2507
W3-1-1	10	31251335	31251739	-2.738	10
W3-1-1	10	31251780	67306277	-0.453	21028
W3-1-1	10	67307924	67314431	-1.291	27
W3-1-1	10	67314447	135506705	-0.434	47577
W3-1-1	10	72760	31246511	-0.457	24991
W3-1-1	12	9637910	9713675	-1.584	22
W3-1-1	13	50685954	50878407	0.201	126
W3-1-1	15	20216956	22285770	0.221	343
W3-1-1	15	22287271	22291025	1.581	2
W3-1-1	15	34727623	34794923	-0.592	57
W3-1-1	15	76891742	76895345	-2.561	12
W3-1-1	16	19509982	25851063	-0.524	3859
W3-1-1	16	32588902	32588910	-2.884	5
W3-1-1	16	74224879	76538655	-0.528	1612
W3-1-1	16	76540800	76541890	-3.809	2
W3-1-1	16	76544758	83897355	-0.541	8297
W3-1-1	16	83931482	83957120	-0.598	19
W3-1-1	16	85092397	85092748	-1.49	5
W3-1-1	17	45634386	45749197	-0.479	52
W3-1-1	17	45753130	45755547	0.341	6
W3-1-1	17	45763005	45855956	-0.502	46
W3-1-1	17	45858836	45863341	0.299	4
W3-1-1	17	45863591	45878733	-0.635	7
W3-1-1	17	8247548	8247734	-2.736	2
W3-1-1	18	18529354	23771761	-0.552	3140
W3-1-1	18	23771875	24139630	-0.36	216
W3-1-1	18	24139693	27826178	-0.455	2372
W3-1-1	18	27832666	29838811	-0.359	1387
W3-1-1	18	29841278	29943814	-0.27	79
W3-1-1	18	35879481	38257875	-0.265	1541
W3-1-1	18	38258071	38258391	-0.961	9
W3-1-1	18	38258617	38265305	0.274	17
W3-1-1	18	38265326	39112341	-0.291	586
W3-1-1	18	47156433	78002239	-0.558	22570
W3-1-1	19	30997605	30999532	2.964	2
W3-1-1	19	35666154	35670087	-0.239	22
W3-1-1	20	1557513	1582093	-0.696	57
W3-1-1	22	19571665	19572770	-3.445	2
W3-1-1	22	41880770	42339345	-0.48	247
W3-1-1	22	42746688	42817652	-0.361	44
W3-1-1	22	43211170	46488229	-0.478	2493
W3-1-1	22	46489201	46728153	-0.216	169
W3-1-1	22	46728858	50573114	-0.48	3309
W3-1-1	24	2650439	2985596	-1.319	165
W3-1-1	24	28470991	28799936	-1.008	178
W3-1-1	24	2985939	6117911	-0.775	1013
W3-1-1	24	6120433	28468769	-1.517	7988
W3-2-1	1	105552106	105552128	-2.901	2
W3-2-1	1	106019237	106022376	-2.111	16
W3-2-1	1	106024056	106044288	-0.472	23
W3-2-1	1	107523611	112690327	-0.298	3738
W3-2-1	1	112695674	112706214	0.425	38
W3-2-1	1	112706219	149041723	-0.286	6664
W3-2-1	1	149041807	149204411	-0.66	88
W3-2-1	1	149204507	152555176	-0.298	1627
W3-2-1	1	152555528	152586239	0.762	32
W3-2-1	1	152586279	152759678	-0.227	185
W3-2-1	1	152761924	152768260	0.436	32
W3-2-1	1	152768282	158513515	-0.322	3386
W3-2-1	1	158513784	158515086	0.295	16
W3-2-1	1	158516997	158866573	-0.278	328
W3-2-1	1	158868502	158869760	-2.933	2
W3-2-1	1	158874819	184880082	-0.297	18615
W3-2-1	1	184881459	197702745	-0.212	8515
W3-2-1	1	197712400	249224389	-0.3	36445
W3-2-1	1	50580685	50818087	-0.383	166
W3-2-1	1	52266120	52270056	-1.391	3
W3-2-1	1	52274260	53050461	-0.229	345
W3-2-1	1	53051020	53219988	-0.37	116
W3-2-1	1	53225210	53229767	0.492	6
W3-2-1	1	53230581	55090201	-0.32	1221
W3-2-1	1	55093292	55094390	-3.963	2
W3-2-1	1	55096451	71086905	-0.293	12076
W3-2-1	1	61736	49525465	-0.303	28309
W3-2-1	1	71087509	89475256	-0.246	12343
W3-2-1	1	89476427	89478206	-3.47	3
W3-2-1	1	89481525	105550180	-0.258	9996
W3-2-1	2	106660701	106666624	-1.567	7
W3-2-1	2	106670527	112803424	-0.269	3240
W3-2-1	2	112808969	112809219	-2.828	2
W3-2-1	2	112814019	115082201	-0.292	1380
W3-2-1	2	115083030	115083213	-3.099	2
W3-2-1	2	115086680	136462831	-0.256	13467
W3-2-1	2	12785	34617403	-0.287	24715
W3-2-1	2	136464818	136465143	-3.096	3
W3-2-1	2	136465856	137901739	-0.3	1053
W3-2-1	2	137904014	146287430	-0.214	5317
W3-2-1	2	146287570	146850239	-0.326	334
W3-2-1	2	147705888	168682499	-0.243	12788
W3-2-1	2	168683413	179043329	-0.286	6939
W3-2-1	2	179043561	184434075	-0.238	3436
W3-2-1	2	189812267	192878003	-0.252	1910
W3-2-1	2	195693299	198138017	-0.248	1495
W3-2-1	2	198138602	198139103	-1.801	3
W3-2-1	2	198139749	202837158	-0.242	2729
W3-2-1	2	202839675	203001990	-0.478	121
W3-2-1	2	204456120	209138634	-0.302	3165
